request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_44,25055.13,affordable_with_plan,wait,2025-04-15:95800.00,,reduce_to:event_4113:2020.00,"Reduce Neighbourhood restaurant to INR 2020.00. Pay INR 95800.00 on 2025-04-15. Forecast balance stays at or above INR 96070.56, protecting your INR 82900.00 minimum through 2025-05-05."
request_45,3410959.34,affordable_later,wait,2026-09-15:21983000.00,2026-09-15,none,"Pay IDR 21983000.00 on 2026-09-15. Forecast balance stays at or above IDR 14560759.34, protecting your IDR 11149800.00 minimum through 2026-10-04."
request_46,34834.49,affordable_with_plan,partial_payment,2024-12-03:34834.49|2024-12-15:14615.51,2024-12-15,none,"Pay INR 34834.49 on 2024-12-03; INR 14615.51 on 2024-12-15. Forecast balance stays at or above INR 84000.00, protecting your INR 84000.00 minimum through 2025-03-03."
request_47,983904.76,not_affordable,not_recommended,none,,none,Do not proceed by 2025-06-19: no accepted payment arrangement completes the full request while protecting your IDR 30049000.00 minimum for 90 days. Safe capacity today is IDR 983904.76.
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,"Pay INR 45700.00 on 2026-07-25. Forecast balance stays at or above INR 76145.25, protecting your INR 71300.00 minimum through 2026-10-23."
request_49,12606505.42,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4636:696350.00,"Reduce Coffee shop to IDR 696350.00. Pay IDR 11902106.67 on 2024-03-18; IDR 11902106.67 on 2024-04-18; IDR 11902106.67 on 2024-05-19. Forecast balance stays at or above IDR 21523495.02, protecting your IDR 20275700.00 minimum through 2024-06-02."
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,"Pay INR 43900.00 on 2025-08-06. Forecast balance stays at or above INR 155150.57, protecting your INR 99700.00 minimum through 2025-11-04."
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,"Pay IDR 2191000.00 on 2026-01-03. Forecast balance stays at or above IDR 8405755.91, protecting your IDR 7811000.00 minimum through 2026-04-03."
request_52,18843.49,affordable_later,wait,2024-06-15:28870.00,2024-06-15,none,"Pay INR 28870.00 on 2024-06-15. Forecast balance stays at or above INR 53865.05, protecting your INR 41500.00 minimum through 2024-09-03."
request_53,464.64,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.50,"Reduce Bakery and snacks to USD 44.50. Pay USD 589.06 on 2025-11-21; USD 589.06 on 2025-12-19; USD 589.06 on 2026-01-16. Forecast balance stays at or above USD 2259.04, protecting your USD 2100.00 minimum through 2026-02-05."
request_54,1706.62,not_affordable,not_recommended,none,,none,Do not proceed by 2026-08-21: no accepted payment arrangement completes the full request while protecting your ZAR 37000.00 minimum for 90 days. Safe capacity today is ZAR 1706.62.
request_55,108204.86,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,reduce_to:event_5103:2536.00,"Reduce Online retail purchases to INR 2536.00. Pay INR 75781.33 on 2026-06-11; INR 75781.33 on 2026-07-12; INR 75781.33 on 2026-08-12. Forecast balance stays at or above INR 127627.01, protecting your INR 124300.00 minimum through 2026-09-06."
request_56,537.93,affordable_with_plan,partial_payment,2025-02-03:537.93|2025-02-15:343.63,2025-02-15,none,"Pay USD 537.93 on 2025-02-03; USD 343.63 on 2025-02-15. Forecast balance stays at or above USD 2100.00, protecting your USD 2100.00 minimum through 2025-05-04."
request_57,13073.52,affordable_later,wait,2026-06-15:61446.00,2026-06-15,none,"Pay ZAR 61446.00 on 2026-06-15. Forecast balance stays at or above ZAR 55773.52, protecting your ZAR 42700.00 minimum through 2026-07-04."
request_58,16226000.00,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,"Pay IDR 16226000.00 on 2024-12-07. Forecast balance stays at or above IDR 19218819.50, protecting your IDR 14433900.00 minimum through 2025-03-07."
request_59,127721.71,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,reduce_to:event_5537:3930.00,"Reduce Neighbourhood restaurant to INR 3930.00. Pay INR 48741.33 on 2025-05-07; INR 48741.33 on 2025-06-04; INR 48741.33 on 2025-07-02. Forecast balance stays at or above INR 138302.95, protecting your INR 132600.00 minimum through 2025-08-02."
request_60,114.90,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"Pay USD 199.89 on 2026-02-15. Forecast balance stays at or above USD 463.91, protecting your USD 400.00 minimum through 2026-04-06."
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Pay ZAR 10074.83 on 2024-03-17; ZAR 10074.83 on 2024-04-17; ZAR 10074.83 on 2024-05-18. Forecast balance stays at or above ZAR 38022.72, protecting your ZAR 36700.00 minimum through 2024-06-01."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 on 2025-08-05. Forecast balance stays at or above USD 3047.39, protecting your USD 1300.00 minimum through 2025-11-03."
request_63,38798.23,not_affordable,not_recommended,none,,none,Do not proceed by 2026-09-17: no accepted payment arrangement completes the full request while protecting your INR 153500.00 minimum for 90 days. Safe capacity today is INR 38798.23.
request_64,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2024-08-16: no accepted payment arrangement completes the full request while protecting your INR 36100.00 minimum for 90 days. Safe capacity today is INR 0.00.
request_65,5783.31,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-25: no accepted payment arrangement completes the full request while protecting your ZAR 15500.00 minimum for 90 days. Safe capacity today is ZAR 5783.31.
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,"Pay INR 22200.00 on 2026-04-03. Forecast balance stays at or above INR 213494.85, protecting your INR 80700.00 minimum through 2026-07-02."
request_67,286.87,affordable_later,wait,2024-11-15:2094.00,2024-11-15,none,"Pay USD 2094.00 on 2024-11-15. Forecast balance stays at or above USD 1486.87, protecting your USD 1200.00 minimum through 2024-12-04."
request_68,1312.28,not_affordable,not_recommended,none,2025-04-23,none,"Do not proceed by 2025-04-16: no accepted payment arrangement completes the full request while protecting your USD 1500.00 minimum for 90 days. Safe capacity today is USD 1312.28. Full-payment capacity is forecast on 2025-04-23, subject to your deadline and payment preferences."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"Pay EUR 529.10 on 2026-01-04. Forecast balance stays at or above EUR 725.17, protecting your EUR 700.00 minimum through 2026-04-04."
request_70,49243.91,affordable_later,wait,2025-02-15:243900.00,2025-02-15,none,"Pay INR 243900.00 on 2025-02-15. Forecast balance stays at or above INR 155987.77, protecting your INR 115000.00 minimum through 2025-03-06."
request_71,171119.84,not_affordable,not_recommended,none,,none,Do not proceed by 2025-05-28: no accepted payment arrangement completes the full request while protecting your IDR 8884800.00 minimum for 90 days. Safe capacity today is IDR 171119.84.
request_72,11330.00,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,"Pay ZAR 11330.00 on 2026-07-05. Forecast balance stays at or above ZAR 12390.91, protecting your ZAR 12200.00 minimum through 2026-10-03."
request_73,68114.48,not_affordable,not_recommended,none,2023-02-15,none,"Do not proceed by 2023-02-13: no accepted payment arrangement completes the full request while protecting your INR 103200.00 minimum for 90 days. Safe capacity today is INR 68114.48. Full-payment capacity is forecast on 2023-02-15, subject to your deadline and payment preferences."
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,"Pay ZAR 5010.00 on 2025-08-04. Forecast balance stays at or above ZAR 50212.48, protecting your ZAR 21900.00 minimum through 2025-11-02."
request_75,14373.88,not_affordable,not_recommended,none,,none,Do not proceed by 2026-06-12: no accepted payment arrangement completes the full request while protecting your ZAR 39000.00 minimum for 90 days. Safe capacity today is ZAR 14373.88.
request_76,652.27,not_affordable,not_recommended,none,,none,Do not proceed by 2024-07-30: no accepted payment arrangement completes the full request while protecting your USD 1800.00 minimum for 90 days. Safe capacity today is USD 652.27.
request_77,59758.85,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed by 2025-11-14: no accepted payment arrangement completes the full request while protecting your INR 82200.00 minimum for 90 days. Safe capacity today is INR 59758.85. Full-payment capacity is forecast on 2025-11-15, subject to your deadline and payment preferences."
request_78,41599.41,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed by 2025-10-14: no accepted payment arrangement completes the full request while protecting your INR 55200.00 minimum for 90 days. Safe capacity today is INR 41599.41. Full-payment capacity is forecast on 2025-11-15, subject to your deadline and payment preferences."
request_79,229.77,not_affordable,not_recommended,none,,none,Do not proceed by 2024-11-01: no accepted payment arrangement completes the full request while protecting your EUR 1000.00 minimum for 90 days. Safe capacity today is EUR 229.77.
request_80,108810.76,not_affordable,not_recommended,none,,none,Do not proceed by 2025-02-21: no accepted payment arrangement completes the full request while protecting your INR 121300.00 minimum for 90 days. Safe capacity today is INR 108810.76.
request_81,2059.59,affordable_with_plan,full_payment,2026-07-03:2076.00,2026-08-15,reduce_to:event_7636:37.50,"Reduce Weekend food delivery to USD 37.50. Pay USD 2076.00 on 2026-07-03. Forecast balance stays at or above USD 1639.31, protecting your USD 1600.00 minimum through 2026-10-01."
request_82,320.49,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Pay USD 1405.20 on 2025-01-15. Forecast balance stays at or above USD 1234.37, protecting your USD 1100.00 minimum through 2025-03-05."
request_83,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2025-06-17: no accepted payment arrangement completes the full request while protecting your INR 37800.00 minimum for 90 days. Safe capacity today is INR 0.00. New recurring childcare is confirmed but its amount is missing; affordability cannot be certified.
request_84,22037.82,affordable_later,wait,2026-06-15:95400.00,2026-06-15,none,"Pay INR 95400.00 on 2026-06-15. Forecast balance stays at or above INR 108785.34, protecting your INR 91300.00 minimum through 2026-07-03."
request_85,333565.04,not_affordable,not_recommended,none,,none,Do not proceed by 2024-04-26: no accepted payment arrangement completes the full request while protecting your IDR 6396300.00 minimum for 90 days. Safe capacity today is IDR 333565.04.
request_86,44721.77,affordable_with_plan,full_payment,2025-08-03:46300.00,2025-08-23,reduce_to:event_8084:2360.00,"Reduce Online retail purchases to INR 2360.00. Pay INR 46300.00 on 2025-08-03. Forecast balance stays at or above INR 87232.49, protecting your INR 84900.00 minimum through 2025-11-01."
request_87,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-15: no accepted payment arrangement completes the full request while protecting your INR 185900.00 minimum for 90 days. Safe capacity today is INR 0.00. New recurring childcare is confirmed but its amount is missing; affordability cannot be certified.
request_88,10715.66,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Pay ZAR 9045.23 on 2024-06-14; ZAR 9045.23 on 2024-07-15; ZAR 9045.23 on 2024-08-15. Forecast balance stays at or above ZAR 27470.43, protecting your ZAR 25800.00 minimum through 2024-09-05."
request_89,9281938.43,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8335|reduce_to:event_8337:266760.00|reduce_to:event_8403:203300.00,"Stop Video streaming plan. Reduce Monthly shopping spend to IDR 266760.00. Reduce Family dinner to IDR 203300.00. Pay IDR 4768746.67 on 2025-11-18; IDR 4768746.67 on 2025-12-16; IDR 4768746.67 on 2026-01-13. Forecast balance stays at or above IDR 13382765.60, protecting your IDR 12534700.00 minimum through 2026-02-02."
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,"Pay ZAR 2560.00 on 2026-07-06. Forecast balance stays at or above ZAR 18985.52, protecting your ZAR 7600.00 minimum through 2026-10-04."
request_91,304.96,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1927.20 on 2024-11-15. Forecast balance stays at or above EUR 2404.96, protecting your EUR 2100.00 minimum through 2024-12-02."
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,"Pay ZAR 34034.00 on 2025-02-05. Forecast balance stays at or above ZAR 29992.46, protecting your ZAR 28100.00 minimum through 2025-05-06."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1729.20 on 2026-04-07. Forecast balance stays at or above USD 1983.19, protecting your USD 1900.00 minimum through 2026-07-06."
request_94,572.00,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,"Pay EUR 572.00 on 2024-12-04. Forecast balance stays at or above EUR 1109.78, protecting your EUR 600.00 minimum through 2025-03-04."
request_95,6966.88,not_affordable,not_recommended,none,,none,Do not proceed by 2025-07-14: no accepted payment arrangement completes the full request while protecting your INR 145500.00 minimum for 90 days. Safe capacity today is INR 6966.88.
request_96,70447.74,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-03-15,reduce_to:event_8980:1610.00,"Reduce Quick-service meal to INR 1610.00. Pay INR 31269.33 on 2026-01-10; INR 31269.33 on 2026-02-09; INR 31269.33 on 2026-03-11. Forecast balance stays at or above INR 60214.20, protecting your INR 56500.00 minimum through 2026-04-03."
request_97,1534.00,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Pay ZAR 8145.28 on 2024-03-19; ZAR 8145.28 on 2024-04-19; ZAR 8145.28 on 2024-05-20. Forecast balance stays at or above ZAR 31234.00, protecting your ZAR 29700.00 minimum through 2024-06-03."
request_98,4078.07,affordable_later,wait,2025-10-15:27148.00,2025-10-15,none,"Pay ZAR 27148.00 on 2025-10-15. Forecast balance stays at or above ZAR 34078.07, protecting your ZAR 30000.00 minimum through 2025-11-05."
request_99,17537.09,affordable_with_plan,full_payment,2026-07-04:18062.00,2026-07-15,reduce_to:event_9188:525.80,"Reduce Family streaming plan to ZAR 525.80. Pay ZAR 18062.00 on 2026-07-04. Forecast balance stays at or above ZAR 49100.89, protecting your ZAR 49100.00 minimum through 2026-10-02."
request_100,25155.05,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,reduce_to:event_9267:508.20,"Reduce Streaming subscription to ZAR 508.20. Pay ZAR 12866.19 on 2024-06-13; ZAR 12866.19 on 2024-07-14; ZAR 12866.19 on 2024-08-14. Forecast balance stays at or above ZAR 32591.81, protecting your ZAR 32500.00 minimum through 2024-09-04."
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"Pay INR 143500.00 on 2025-11-03. Forecast balance stays at or above INR 194396.05, protecting your INR 187400.00 minimum through 2026-02-01."
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Pay EUR 594.88 on 2026-04-05; EUR 594.88 on 2026-05-05; EUR 594.88 on 2026-06-04. Forecast balance stays at or above EUR 1967.04, protecting your EUR 900.00 minimum through 2026-07-04."
request_103,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2024-10-07: no accepted payment arrangement completes the full request while protecting your INR 125500.00 minimum for 90 days. Safe capacity today is INR 0.00.
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,"Pay ZAR 17204.00 on 2025-02-04. Forecast balance stays at or above ZAR 28075.04, protecting your ZAR 24700.00 minimum through 2025-05-05."
request_105,47100.69,not_affordable,not_recommended,none,2026-06-15,none,"Do not proceed by 2026-06-14: no accepted payment arrangement completes the full request while protecting your INR 73900.00 minimum for 90 days. Safe capacity today is INR 47100.69. Full-payment capacity is forecast on 2026-06-15, subject to your deadline and payment preferences."
request_106,459.01,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2207.70 on 2025-02-15. Forecast balance stays at or above EUR 1659.01, protecting your EUR 1200.00 minimum through 2025-03-03."
request_107,2389.45,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,stop:event_9894|reduce_to:event_9959:42.50,"Stop Audio streaming plan. Reduce Quick-service meal to EUR 42.50. Pay EUR 878.59 on 2025-05-08; EUR 878.59 on 2025-06-05; EUR 878.59 on 2025-07-03. Forecast balance stays at or above EUR 1625.89, protecting your EUR 1600.00 minimum through 2025-08-03."
request_108,1860.65,not_affordable,not_recommended,none,2026-09-15,none,"Do not proceed by 2026-07-26: no accepted payment arrangement completes the full request while protecting your ZAR 24100.00 minimum for 90 days. Safe capacity today is ZAR 1860.65. Full-payment capacity is forecast on 2026-09-15, subject to your deadline and payment preferences."
request_109,491.08,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10081,"Stop Video streaming plan. Pay EUR 645.98 on 2024-03-18; EUR 645.98 on 2024-04-18; EUR 645.98 on 2024-05-19. Forecast balance stays at or above EUR 1780.66, protecting your EUR 1700.00 minimum through 2024-06-02."
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Pay ZAR 7748.69 on 2025-08-06; ZAR 7748.69 on 2025-09-03; ZAR 7748.69 on 2025-10-01. Forecast balance stays at or above ZAR 22732.78, protecting your ZAR 11200.00 minimum through 2025-11-04."
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"Pay IDR 16625000.00 on 2026-04-03. Forecast balance stays at or above IDR 23230480.78, protecting your IDR 23022800.00 minimum through 2026-07-02."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,"Pay EUR 271.70 on 2024-06-05. Forecast balance stays at or above EUR 517.48, protecting your EUR 500.00 minimum through 2024-09-03."
request_113,19182.91,affordable_later,wait,2026-10-15:36500.00,2026-10-15,none,"Pay INR 36500.00 on 2026-10-15. Forecast balance stays at or above INR 86508.06, protecting your INR 82300.00 minimum through 2026-12-03."
request_114,51308.97,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed by 2026-01-14: no accepted payment arrangement completes the full request while protecting your INR 113400.00 minimum for 90 days. Safe capacity today is INR 51308.97. Full-payment capacity is forecast on 2026-01-15, subject to your deadline and payment preferences."
request_115,14843.66,affordable_later,wait,2024-11-15:80500.00,2024-11-15,none,"Pay INR 80500.00 on 2024-11-15. Forecast balance stays at or above INR 53643.66, protecting your INR 38800.00 minimum through 2024-12-05."
request_116,4416.66,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-16: no accepted payment arrangement completes the full request while protecting your INR 80300.00 minimum for 90 days. Safe capacity today is INR 4416.66.
request_117,854.91,affordable_with_plan,full_payment,2026-07-05:880.00,2026-07-15,reduce_to:event_10833:11.00|reduce_to:event_10878:20.50,"Reduce Family streaming plan to EUR 11.00. Reduce Weekend food delivery to EUR 20.50. Pay EUR 880.00 on 2026-07-05. Forecast balance stays at or above EUR 1008.19, protecting your EUR 1000.00 minimum through 2026-10-03."
request_118,627.92,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Pay EUR 255.87 on 2024-12-07; EUR 255.87 on 2025-01-07; EUR 255.87 on 2025-02-07. Forecast balance stays at or above EUR 864.44, protecting your EUR 600.00 minimum through 2025-03-07."
request_119,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2025-07-17: no accepted payment arrangement completes the full request while protecting your INR 151200.00 minimum for 90 days. Safe capacity today is INR 0.00. New recurring childcare is confirmed but its amount is missing; affordability cannot be certified.
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"Pay IDR 7714000.00 on 2026-04-06. Forecast balance stays at or above IDR 20818605.59, protecting your IDR 20050300.00 minimum through 2026-07-05."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Pay USD 633.60 on 2024-03-03. Forecast balance stays at or above USD 812.93, protecting your USD 800.00 minimum through 2024-06-01."
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Pay IDR 7126773.33 on 2025-08-05; IDR 7126773.33 on 2025-09-02; IDR 7126773.33 on 2025-09-30. Forecast balance stays at or above IDR 24458951.80, protecting your IDR 12588500.00 minimum through 2025-11-03."
request_123,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-28: no accepted payment arrangement completes the full request while protecting your IDR 18091200.00 minimum for 90 days. Safe capacity today is IDR 0.00.
request_124,1389.44,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-15,reduce_to:event_11480:38.00,"Reduce Family dinner to EUR 38.00. Pay EUR 1076.12 on 2024-06-11; EUR 1076.12 on 2024-07-12; EUR 1076.12 on 2024-08-12. Forecast balance stays at or above EUR 1600.84, protecting your EUR 1600.00 minimum through 2024-09-02."
request_125,5324.65,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed by 2025-11-14: no accepted payment arrangement completes the full request while protecting your ZAR 11300.00 minimum for 90 days. Safe capacity today is ZAR 5324.65. Full-payment capacity is forecast on 2025-11-15, subject to your deadline and payment preferences."
request_126,159600.00,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,"Pay INR 159600.00 on 2026-07-03. Forecast balance stays at or above INR 137325.65, protecting your INR 129700.00 minimum through 2026-10-01."
request_127,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2024-10-18: no accepted payment arrangement completes the full request while protecting your ZAR 41000.00 minimum for 90 days. Safe capacity today is ZAR 0.00. New recurring childcare is confirmed but its amount is missing; affordability cannot be certified.
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"Pay ZAR 25168.00 on 2025-02-07. Forecast balance stays at or above ZAR 44253.16, protecting your ZAR 42600.00 minimum through 2025-05-08."
request_129,114.29,not_affordable,not_recommended,none,,none,Do not proceed by 2026-06-18: no accepted payment arrangement completes the full request while protecting your USD 800.00 minimum for 90 days. Safe capacity today is USD 114.29.
request_130,304.67,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1978.80 on 2025-02-15. Forecast balance stays at or above USD 1704.67, protecting your USD 1400.00 minimum through 2025-03-06."
request_131,1121.56,not_affordable,not_recommended,none,2025-07-23,none,"Do not proceed by 2025-07-08: no accepted payment arrangement completes the full request while protecting your USD 1100.00 minimum for 90 days. Safe capacity today is USD 1121.56. Full-payment capacity is forecast on 2025-07-23, subject to your deadline and payment preferences."
request_132,263.69,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Pay USD 379.86 on 2026-02-15. Forecast balance stays at or above USD 1200.56, protecting your USD 1100.00 minimum through 2026-04-05."
request_133,0.00,not_affordable,not_recommended,none,,none,Do not proceed by 2024-03-29: no accepted payment arrangement completes the full request while protecting your IDR 9986200.00 minimum for 90 days. Safe capacity today is IDR 0.00.
request_134,4403204.08,affordable_later,wait,2025-10-15:21831000.00,2025-10-15,none,"Pay IDR 21831000.00 on 2025-10-15. Forecast balance stays at or above IDR 20305704.08, protecting your IDR 15902500.00 minimum through 2025-11-02."
request_135,286.87,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop Video streaming plan. Pay USD 304.80 on 2026-07-06. Forecast balance stays at or above USD 505.07, protecting your USD 500.00 minimum through 2026-10-04."
